570.05 mm,259.84 mm,"35,74",1170
558.05 mm,292.84 mm,"73,74",1171
576.80 mm,303.34 mm,"74,4",1172
576.56 mm,316.83 mm,"75,4",1173
560.55 mm,329.09 mm,"75,76",1174
570.17 mm,344.74 mm,"77,75",1175
535.05 mm,370.54 mm,"77,78",1176
417.11 mm,442.76 mm,"42,17",1178
419.65 mm,419.42 mm,"43,18",1179
415.05 mm,384.59 mm,"11,12",1180
469.30 mm,404.34 mm,"14,15",1181
469.20 mm,432.34 mm,"15,16",1182
483.75 mm,444.74 mm,"16,19",1183
498.70 mm,396.84 mm,"21,78",1184
545.15 mm,445.24 mm,"20,82",1185
570.65 mm,433.84 mm,"81,82",1186
552.30 mm,420.84 mm,"80,81",1187
535.50 mm,408.09 mm,"79,80",1188
548.05 mm,257.59 mm,"33,73",1189
510.55 mm,335.34 mm,"64,76",1190
554.65 mm,396.34 mm,"79,83",1192
577.55 mm,395.34 mm,"3,83",1193
570.72 mm,380.87 mm,"77,83",1194
296.80 mm,429.84 mm,"36,37",1195
290.55 mm,406.84 mm,"0,36",1196
