315.05 mm,192.99 mm,"48,49",1036
322.55 mm,211.24 mm,"39,49",1037
301.30 mm,224.74 mm,"38,39",1038
278.30 mm,249.24 mm,"22,38",1039
212.90 mm,99.74 mm,"65,66",1040
233.80 mm,90.84 mm,"66,73",1041
217.11 mm,77.24 mm,"72,73",1042
192.20 mm,65.70 mm,"72,79",1043
297.30 mm,138.49 mm,"54,61",1044
298.84 mm,97.24 mm,"61,74",1045
302.30 mm,67.24 mm,"74,80",1046
250.15 mm,54.74 mm,"79,80",1047
366.15 mm,54.74 mm,"80,81",1048
448.30 mm,55.24 mm,"81,82",1049
471.30 mm,80.99 mm,"71,82",1050
476.80 mm,106.49 mm,"71,5",1051
419.07 mm,64.74 mm,"78,81",1052
322.30 mm,82.24 mm,"74,75",1053
354.80 mm,79.74 mm,"75,76",1054
355.48 mm,91.00 mm,"75,67",1055
380.44 mm,74.74 mm,"76,77",1056
380.06 mm,97.25 mm,"67,68",1057
392.80 mm,221.74 mm,"35,41",1058
425.30 mm,212.74 mm,"41,42",1059
423.97 mm,202.50 mm,"41,50",1060
193.14 mm,112.64 mm,"59,65",1061
343.87 mm,233.56 mm,"34,40",1065
432.88 mm,205.57 mm,"42,50",1066
368.96 mm,289.84 mm,"15,27",1067
181.76 mm,44.74 mm,-1,1068
